番号,住所,ホール名,状態
130,東京都荒川区町屋3-1-12,(S)ウインベル イースト スロット 町屋店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
131,東京都荒川区西日暮里5-21-7プリミエールビル,(S)ダイナム 西日暮里スロット店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
132,東京都荒川区西日暮里5-34-5平松ビル,11号線 西日暮里店,休業(2020/04/20～2020/05/25)、再開(2020/05/26～)
133,東京都荒川区東日暮里5-51-12,BBステーション 日暮里店,休業(2020/04/10～2020/05/26)、再開(2020/05/27～)
134,東京都荒川区東尾久4-33-13,OGU865 尾久店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
135,東京都荒川区西日暮里1-37-17,みとや 新三河島店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
136,東京都荒川区南千住7-2-8,アカダマ サザンクロス 南千住店,閉店(～2020/04/12)
137,東京都荒川区町屋2-4-15,ウインベル イースト パチンコ 町屋店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
138,東京都荒川区荒川6-2-6,ウインベル ウエスト 町屋店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
139,東京都荒川区東日暮里5-52-7,キューデン・アネックス 日暮里店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
140,東京都荒川区荒川5-19-5,コンサートホール 荒川店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
141,東京都荒川区町屋3-7-19池上ビル,サンズ 町屋店,休業(2020/04/27～)、再開
142,東京都荒川区東日暮里1-8-1借楽ビル,サンラッキー 三ノ輪店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
143,東京都荒川区西日暮里5-23-5クラウンビル,ダイナム 西日暮里店,閉店(～2020/04/06)
144,東京都荒川区東日暮里5-51-7日暮里宝島ビル,ドットコム 日暮里店,休業(2020/04/25～2020/05/15)、再開(2020/05/16～)
145,東京都荒川区荒川7-49-1町屋ニュートーキョービル,ニュートーキョー 町屋店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
146,東京都荒川区西尾久5-8-1,ピーアップル 小台店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
147,東京都荒川区東尾久4-32-10,ピーアップル 東尾久店,休業(2020/04/26～2020/05/06)、再開(2020/05/07～)
148,東京都国分寺市東元町4-1-36,オゼック 国分寺店,休業(～2020/05/25)、再開(2020/05/26～)
149,東京都国分寺市本町2-14-1,オゼック 国分寺北口店,休業(～2020/05/25)、再開(2020/05/26～)
150,東京都国分寺市南町2-16-15京和ビル,スパークル 国分寺南口店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
151,東京都国分寺市泉町3-35-26,ニューロータリー 西国分寺店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
152,東京都国分寺市東恋ケ窪5-6-3恋ケ窪SC,ベガスベガス 国分寺恋ケ窪店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
153,東京都国分寺市西恋ケ窪4-30-7,ラスベガス 恋ケ窪店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
154,東京都国分寺市本町3-1-1ココブンジウエストB1,国分寺モナコ,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
155,東京都国立市富士見台2-15-7富士商事ビル,ソレイユ 谷保店,休業(2020/04/29～)、再開(2020/05/12～)
156,東京都国立市富士見台2-14-6,百億 国立店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
157,東京都狛江市東和泉3-8-2いづみレジデンス,タカラホール 和泉多摩川店,閉店(～2020/04/24)
158,東京都狛江市東和泉1-29-21,日の丸 狛江店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
159,東京都三鷹市下連雀3-22-2,ツバサ 三鷹店,休業(2020/04/27～2020/05/13)、再開(2020/05/14～)
160,東京都三鷹市下連雀3-45-2ニュージャパン駅前ビル,メッセ 三鷹店 新館,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
161,東京都三鷹市下連雀3-45-1麻沼ビル,メッセ 三鷹店 本館,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
162,東京都三宅村阿古1878,パーラーみやけ 阿古店,不明
163,東京都三宅村坪田2987,パーラーみやけ 坪田店,不明
164,東京都渋谷区道玄坂2-6-4日拓渋谷第2ビル,(S)エスパス日拓 渋谷スロット館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
165,東京都渋谷区笹塚1-56-2,(S)マルシンスロット P-2 笹塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
166,東京都渋谷区本町2-5-1スクエア初台ビル,あかね 初台店,休業(2020/04/19～2020/06/12)、再開(2020/06/13～)
167,東京都渋谷区代々木1-37-7勝栄ビルB1,アクアス 代々木店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
168,東京都渋谷区幡ヶ谷2-13-4幡ヶ谷中央ビルB1,アサヒ 幡ヶ谷2号店,休業(2020/04/25～)、再開
169,東京都渋谷区幡ヶ谷1-2-5永幸ビル,エイコー 幡ヶ谷店,休業(2020/04/25～)、再開
170,東京都渋谷区道玄坂2-4-2①,エスパス日拓 渋谷駅前新館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
171,東京都渋谷区道玄坂2-5-2日拓渋谷ビル①,エスパス日拓 渋谷本館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
172,東京都渋谷区恵比寿西1-2-1恵比寿マンションB1,オーパス・ワン 恵比寿店,休業(2020/04/11～2020/05/14)、再開(2020/05/15～)
173,東京都渋谷区富ヶ谷1-44-21代々木公園駅前ビル,サンラッキー 代々木店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
174,東京都渋谷区笹塚1-58-6マルシンビル,マルシン 笹塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
175,東京都渋谷区笹塚1-58-5笹塚コトブキビル,メッセ 笹塚店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
176,東京都渋谷区道玄坂2-6-16,楽園 渋谷道玄坂店,休業(2020/04/08～2020/05/31)、再開(2020/06/01～)
177,東京都渋谷区広尾5-14-2広尾NIKIビル,日の丸 広尾店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
178,東京都小金井市東町4-42-20浅見ビル,ガイアネクスト 東小金井店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
179,東京都小金井市本町6-14-28アクウェルモールB1,ダイヤモンド タワー館,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
180,東京都小金井市本町5-12-8,ダイヤモンド 本店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
181,東京都小金井市本町5-12-7,マルキン 武蔵小金井店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
182,東京都小平市花小金井3-15-1タケプラザ,(S)トワーズ 小平店 GOGOスロット館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
183,東京都小平市美園町2-2-18NS小平第一ビル,アット 小平店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
184,東京都小平市小川東町5-15-17,オゼック 小平店,休業(～2020/05/25)、再開(2020/05/26～)
185,東京都小平市花小金井4-35-6,ゴールデンセンター 花小金井店,休業(2020/04/10～2020/05/15)、再開(2020/05/16～)
186,東京都小平市花小金井1-11-3,ザ・チャンス 花小金井店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
187,東京都小平市学園東町1-4-40,スパークル2 一橋学園店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
188,東京都小平市花小金井3-33-5エメラルドビル,トワーズ 小平店 みんなのパチンコ館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
189,東京都小平市小川西町4-33-24,ピーアーク 小川店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
