番号,住所,ホール名,状態
657,東京都北区王子1-18-8シルバー会館,(S)龍龍 王子店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
658,東京都北区王子1-18-5アークホテル1F,DAS 王子店,休業(2020/04/25～)、再開
659,東京都北区東十条4-1-10,DAS 東十条店,休業(2020/04/25～)、再開
660,東京都北区赤羽1-7-4赤羽興業ビル,K-1 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
661,東京都北区赤羽西1-7-1パルロード3①,ことぶき 赤羽店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
662,東京都北区赤羽西1-6-1パルロード2,アジアセンター 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
663,東京都北区上十条2-24-11,アバンザ 十条店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
664,東京都北区東十条4-2-13ガーデン東十条ビル,ガーデン 東十条店,休業(2020/04/28～2020/05/06、2020/05/12～2020/05/13)、再開(2020/05/14～)
665,東京都北区赤羽南1-7-2昇征ビル,キングス 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
666,東京都北区十条仲原1-4-8,グランディ 十条店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
667,東京都北区王子1-9-5京徳ビル,ジュラク 王子店,休業(2020/04/11～2020/05/31)、再開(2020/06/01～)
668,東京都北区王子1-18-11,ジュラク2 王子店,休業(2020/04/11～2020/05/31)、再開(2020/06/01～)
669,東京都北区王子1-18-1飛鳥ビル,ジュラク3 王子店,休業(2020/04/11～2020/05/31)、再開(2020/06/01～)
670,東京都北区赤羽1-3-5第2羅針盤ビル,ニュークラウン 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
671,東京都北区昭和町2-5-3ライスビレッジビル,ピーアップル 尾久店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
672,東京都北区昭和町2-1-28,プライム 尾久店,休業(2020/04/21～2020/05/15、2020/05/21～2020/05/24)、再開(2020/05/25～)
673,東京都北区東十条4-4-1タカダビル,ベラジオ 東十条店,休業(2020/04/17～2020/05/06、2020/05/10～)、再開
674,東京都北区赤羽1-5-4新丸久ビル,マックス 赤羽店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
675,東京都北区田端6-2-33,将軍 田端店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
676,東京都墨田区江東橋3-9-17,(S)みとや ジャックポット錦糸町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
677,東京都墨田区両国3-25-8大黒ビル2F,(S)スロットX P-2 両国店,休業(2020/04/05～2020/05/28)、再開(2020/05/29～)
678,東京都墨田区両国3-26-8ニュー大黒ビル,(S)スロットX 両国店,休業(2020/04/05～2020/05/28)、再開(2020/05/29～)
679,東京都墨田区江東橋3-10-4,(S)スロット京葉 錦糸町店,休業(2020/04/25～2020/05/15)、再開(2020/05/16～)
680,東京都墨田区江東橋3-9-16,(S)日の丸 錦糸町店 スロット館,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
681,東京都墨田区両国3-25-8大黒ビル1F,PX 両国店,休業(2020/04/05～2020/05/28)、再開(2020/05/29～)
682,東京都墨田区江東橋3-6-6,みとや 錦糸町南口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
683,東京都墨田区錦糸3-3-4,みとや 錦糸町北口店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
684,東京都墨田区両国2-21-8,アスカ 両国店,休業(2020/04/23～2020/05/16)、再開(2020/05/17～)
685,東京都墨田区東墨田2-8-5アリーナビル,エクス・アリーナ東京,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
686,東京都墨田区東向島2-30-12,ガイア 曳舟店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
687,東京都墨田区東向島4-41-6,ガム 曳舟店,休業(2020/04/25～2020/05/25)、再開(2020/05/26～)
688,東京都墨田区押上1-12-8,スターダスト 押上店,休業(2020/04/25～2020/05/06、2020/05/13～2020/05/25)、再開(2020/05/26～)
689,東京都墨田区江東橋4-25-5鈴木ビル,パトリオットM 錦糸町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
690,東京都墨田区錦糸2-3-11,パンドラ 錦糸町北口店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
691,東京都墨田区業平3-17-9マルホンビル,マルホン 押上店,休業(2020/04/11～2020/05/20)、再開(2020/05/21～)
692,東京都墨田区菊川3-7-1,菊川会館,休業(2020/04/09～)、再開
693,東京都墨田区江東橋3-9-20,日の丸 錦糸町店 パチンコ館,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
694,東京都目黒区鷹番3-1-10牡丹ビルB1,(S)G2 学芸大学店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
695,東京都目黒区自由が丘1-12-10,(S)マグマ 自由が丘店,休業(2020/04/25～2020/05/22)、再開(2020/05/23～)
696,東京都目黒区上目黒3-7-6,(S)マツヤ スロットゾーン 中目黒店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
697,東京都目黒区自由が丘1-13-11,P-PORT プレゴ 自由が丘店,休業(2020/04/20～2020/05/28)、再開(2020/05/29～)
698,東京都目黒区自由が丘1-14-7,オリエンタル・パサージュ 自由が丘店,休業(2020/04/23～2020/05/19)、再開(2020/05/20～)
699,東京都目黒区鷹番3-1-6,スーパーセブン 学芸大学店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
700,東京都目黒区上目黒3-7-11松村ビル,マツヤ 本店,休業(2020/04/08～2020/05/27)、再開(2020/05/28～)
701,東京都目黒区鷹番3-9-9,ミナミ 学芸大学店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
702,東京都目黒区原町1-9-3原町ビル,将軍 西小山店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
703,東京都目黒区上目黒1-19-8,日の丸 中目黒店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
704,東京都目黒区中根1-3-4益戸ビル,日の丸 都立大店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
705,東京都目黒区祐天寺2-2-6山本ビル,万両 祐天寺店,休業(2020/04/11～2020/06/07)、再開(2020/06/08～)
706,東京都立川市幸町1-35-1SAP立川ビル2,(S)SAP 立川店 スロット館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
707,東京都立川市柴崎町3-7-5ヒューマックスパビリオン,P-PORT プレゴ 立川店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
708,東京都立川市幸町1-35-7SAP立川ビル1,SAP 立川店 パチンコ館,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
709,東京都立川市錦町1-4-27立川オスロービル,グランドセブン 立川店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
710,東京都立川市曙町2-4-5NIS立川駅前ビル,スーパーD'ステーション 立川店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
711,東京都立川市富士見町6-47-17,トワーズ 立川店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
712,東京都立川市柴崎町3-6-2アレアレア1,ハイパージアス 立川店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
713,東京都練馬区豊玉北5-19-2,(S)オーシャン 練馬スロット専門館,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
714,東京都練馬区石神井町4-1-13,(S)ミリオン 石神井公園店 スロット館,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
715,東京都練馬区東大泉1-30-12F,(S)日の出会館 スロット 大泉学園店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
716,東京都練馬区栄町27-5,(S)龍龍 江古田店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
717,東京都練馬区練馬1-20-1,Dスタイル 練馬4号店,休業、再開
718,東京都練馬区旭丘1-76-7,やすだ 江古田店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
719,東京都練馬区石神井町3-17-19ジュエリービル,アット 石神井公園店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
720,東京都練馬区豊玉北5-19-5,オーシャン 練馬パチンコ専門館,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
721,東京都練馬区高野台1-5-4デコラート高野台ビル,ガイア 高野台店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
722,東京都練馬区東大泉1-30-5芳月ビル,ガイア 大泉学園店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
723,東京都練馬区貫井3-8-1第1大同ビル,ガイア 富士見台南口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
724,東京都練馬区貫井1-2-1中村橋サンパレス,キング 中村橋店,休業(2020/04/08～2020/06/11)、再開(2020/06/12～)
725,東京都練馬区光が丘3-9-1,コスモ 光が丘店,休業(2020/04/11～2020/05/06、2020/05/10～2020/05/25)、再開(2020/05/26～)
726,東京都練馬区上石神井1-14-6,コンドル 上石神井店,休業(2020/04/24～2020/05/26)、再開(2020/05/27～)
727,東京都練馬区関町北2-28-15第12平和ビル,サンコー 関町店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
728,東京都練馬区関町北4-2-13,スーパーセブン 武蔵関店,休業(2020/04/09～2020/05/29)、再開(2020/05/30～)
729,東京都練馬区旭町1-8-1サンフラワー徳力,チャレンジャー 光が丘店,休業(2020/04/27～2020/05/06)、再開(2020/05/07～)
730,東京都練馬区練馬1-19-2,ニューかめ 練馬店,閉店(～2020/04/10)
731,東京都練馬区貫井4-47-43,ニューグランド 貫井店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
732,東京都練馬区土支田1-29-7,ニューグランド 土支田店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
733,東京都練馬区上石神井1-14-4,ミリオン 上石神井5号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
734,東京都練馬区石神井町3-25-21ライオンズマンション石神井公園1F①,ミリオン 石神井公園店 パチンコ館,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
735,東京都練馬区石神井町3-25-21ライオンズマンション石神井公園1F②,ミリオン 石神井公園店 ライト館,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
736,東京都練馬区北町2-36-23,ミリオン 東武練馬12号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
737,東京都練馬区北町2-21-9,ミリオン 東武練馬13号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
738,東京都練馬区氷川台3-40-15ガーデン氷川台ハイム,ミリオン 氷川台11号店,閉店(～2020/04/08)
739,東京都練馬区北町6-32-3,ミリオン 平和台16号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
740,東京都練馬区早宮2-17-35,ミリオン 平和台21号店,休業(2020/04/09～2020/05/26)、再開(2020/05/27～)
741,東京都練馬区中村北3-11-5,国際センター 中村橋店,休業(2020/04/18～2020/05/26)、再開(2020/05/27～)
742,東京都練馬区旭丘1-72-1,日の丸 江古田店,休業(2020/04/25～2020/05/15、2020/05/20～2020/05/24)、再開(2020/05/25～)
743,東京都練馬区東大泉1-30-11F,日の出会館 パチンコ 大泉学園店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
